as_of_date,index_name,index_code,ticker,yahoo_ticker,name_cn,name_en,exchange,exchange_cn,weight_pct
2026-06-04,CSI 500,000905,002025,002025.SZ,航天电器,Guizhou Space Appliance Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.169
2026-06-04,CSI 500,000905,002032,002032.SZ,苏泊尔,"Zhejiang Supor Co.,Ltd",Shenzhen Stock Exchange,深圳证券交易所,0.069
2026-06-04,CSI 500,000905,002044,002044.SZ,美年健康,"Meinian Onehealth Healthcare Holdings Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.169
2026-06-04,CSI 500,000905,002056,002056.SZ,横店东磁,Hengdian Group DMEGC Magnetics Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.195
2026-06-04,CSI 500,000905,002064,002064.SZ,华峰化学,"Huafon Chemical Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.19
2026-06-04,CSI 500,000905,002065,002065.SZ,东华软件,"DHC Software Co.,Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.158
2026-06-04,CSI 500,000905,002078,002078.SZ,太阳纸业,Shan Dong Sun Paper Industry Joint Stock Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.22
2026-06-04,CSI 500,000905,002080,002080.SZ,中材科技,Sinoma Science & Technology Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.453
2026-06-04,CSI 500,000905,002085,002085.SZ,万丰奥威,"Zhejiang Wanfeng Auto Wheel Co.,Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.167
2026-06-04,CSI 500,000905,002120,002120.SZ,韵达股份,"YUNDA Holding Group CO., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.095
2026-06-04,CSI 500,000905,002126,002126.SZ,银轮股份,Zhejiang Yinlun Machinery Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.4
2026-06-04,CSI 500,000905,002128,002128.SZ,电投能源,INNER MONGOLIA DIAN TOU ENERGY CORPORATION LIMITED,Shenzhen Stock Exchange,深圳证券交易所,0.329
2026-06-04,CSI 500,000905,002130,002130.SZ,沃尔核材,Shenzhen Woer Heat-Shrinkable Material Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.263
2026-06-04,CSI 500,000905,002131,002131.SZ,利欧股份,"LEO GROUP CO., LTD.",Shenzhen Stock Exchange,深圳证券交易所,0.384
2026-06-04,CSI 500,000905,002138,002138.SZ,顺络电子,Shenzhen Sunlord Electronics Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.385
2026-06-04,CSI 500,000905,002152,002152.SZ,广电运通,GRG Banking Equipment Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.123
2026-06-04,CSI 500,000905,002153,002153.SZ,石基信息,Beijing Shiji Information Technology Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.064
2026-06-04,CSI 500,000905,002155,002155.SZ,湖南黄金,Hunan Gold Corporation Limited,Shenzhen Stock Exchange,深圳证券交易所,0.252
2026-06-04,CSI 500,000905,002156,002156.SZ,通富微电,"TongFu Microelectronics Co.,Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.76
2026-06-04,CSI 500,000905,002157,002157.SZ,正邦科技,Jiangxi Zhengbang Technology Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.218
2026-06-04,CSI 500,000905,002185,002185.SZ,华天科技,Tianshui Huatian Technology Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.47
2026-06-04,CSI 500,000905,002195,002195.SZ,岩山科技,"Shanghai Stonehill Technology Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.413
2026-06-04,CSI 500,000905,002202,002202.SZ,金风科技,"GOLDWIND SCIENCE & TECHNOLOGY CO.,LTD.",Shenzhen Stock Exchange,深圳证券交易所,0.537
2026-06-04,CSI 500,000905,002203,002203.SZ,海亮股份,Zhejiang Hailiang Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.268
2026-06-04,CSI 500,000905,002223,002223.SZ,鱼跃医疗,Jiangsu Yuyue Medical Equipment & Supply Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.151
2026-06-04,CSI 500,000905,002244,002244.SZ,滨江集团,Hangzhou Binjiang Real Estate Group Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.123
2026-06-04,CSI 500,000905,002261,002261.SZ,拓维信息,"Talkweb Information System Co.,Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.355
2026-06-04,CSI 500,000905,002262,002262.SZ,恩华药业,Jiangsu Nhwa Pharmaceutical Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.117
2026-06-04,CSI 500,000905,002265,002265.SZ,建设工业,"Jianshe Industry Group (Yunnan) Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.06
2026-06-04,CSI 500,000905,002266,002266.SZ,浙富控股,"ZHEFU HOLDING GROUP CO., LTD",Shenzhen Stock Exchange,深圳证券交易所,0.128
2026-06-04,CSI 500,000905,002271,002271.SZ,东方雨虹,Beijing Oriental Yuhong Waterproof Technology Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.247
2026-06-04,CSI 500,000905,002273,002273.SZ,水晶光电,"Zhejiang Crystal-Optech Co., Ltd",Shenzhen Stock Exchange,深圳证券交易所,0.519
